ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
MonoR420,0.332703454,-0.02558611,0.615384615,8,7,1,MonoR610,MonoR283,MonoR311,MonoR309,MonoR791,MonoR903,MonoR642,MonoR480,MonoR461,MonoR985,MonoR577,MonoR956,MonoR367,MonoR623,7,5,0,3,7,7,4,3,5,1,2,4,5,4,2,3,3,3,2,2,3,3,3,3,3,3,3,3
MonoR421,-0.384862128,-0.162771431,0.528735632,5,2,3,MonoR976,MonoR848,MonoR3,MonoR592,MonoR523,MonoR608,MonoR380,MonoR28,MonoR34,MonoR118,MonoR482,MonoR625,MonoR383,MonoR622,2,2,0,7,5,3,5,0,2,2,3,5,7,1,3,3,3,2,3,3,3,3,3,3,3,3,0,3
MonoR422,-0.111019119,0.210787379,0.59,6,3,3,MonoR703,MonoR297,MonoR170,MonoR549,MonoR61,MonoR574,MonoR445,MonoR119,MonoR13,MonoR246,MonoR687,MonoR548,MonoR526,MonoR133,2,3,2,1,3,6,7,7,6,2,3,3,5,6,3,3,3,3,3,3,0,2,3,3,3,3,3,3
MonoR423,-0.22585908,-0.183781598,0.607843137,8,5,3,MonoR737,MonoR781,MonoR501,MonoR147,MonoR827,MonoR33,MonoR460,MonoR232,MonoR211,MonoR972,MonoR663,MonoR895,MonoR409,MonoR439,7,5,2,1,7,3,1,1,2,4,6,6,7,5,2,3,3,3,1,3,3,3,3,3,3,3,1,3
MonoR424,0.115611751,0.07852721,0.542553191,8,5,3,MonoR145,MonoR469,MonoR803,MonoR850,MonoR755,MonoR252,MonoR872,MonoR419,MonoR56,MonoR467,MonoR572,MonoR427,MonoR621,MonoR77,5,2,0,0,4,6,5,1,7,5,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
MonoR425,-0.509794945,-0.160078899,0.576086957,6,3,3,MonoR694,MonoR280,MonoR529,MonoR933,MonoR780,MonoR622,MonoR831,MonoR3,MonoR315,MonoR769,MonoR231,MonoR608,MonoR138,MonoR843,3,7,7,4,7,1,2,0,2,4,1,3,2,7,3,0,2,3,2,3,3,3,3,3,3,3,3,2
MonoR426,-0.046152043,-0.35068302,0.493975904,6,3,3,MonoR483,MonoR346,MonoR779,MonoR564,MonoR927,MonoR585,MonoR676,MonoR264,MonoR451,MonoR86,MonoR18,MonoR20,MonoR617,MonoR995,1,3,4,2,7,3,0,3,5,2,1,1,2,4,3,3,3,3,0,3,3,3,3,3,3,3,3,3
MonoR427,0.144816006,0.12372227,0.572815534,6,3,3,MonoR850,MonoR755,MonoR542,MonoR145,MonoR941,MonoR506,MonoR957,MonoR130,MonoR424,MonoR467,MonoR124,MonoR191,MonoR991,MonoR419,0,4,5,5,6,5,3,0,5,5,4,7,6,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3
MonoR428,-0.349493323,0.247851814,0.476190476,7,4,3,MonoR284,MonoR298,MonoR245,MonoR655,MonoR7,MonoR337,MonoR787,MonoR620,MonoR274,MonoR672,MonoR706,MonoR945,MonoR696,MonoR201,2,3,1,1,7,1,2,6,2,1,5,3,0,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3
MonoR429,-0.063403617,-0.105696844,0.638095238,8,5,3,MonoR847,MonoR963,MonoR796,MonoR839,MonoR764,MonoR519,MonoR499,MonoR262,MonoR597,MonoR306,MonoR213,MonoR750,MonoR980,MonoR146,4,2,7,7,7,7,5,5,4,4,1,1,4,4,3,3,0,2,2,1,3,3,3,3,3,3,3,3
MonoR430,-0.01831578,-0.127729362,0.636363636,7,7,0,MonoR993,MonoR950,MonoR863,MonoR811,MonoR505,MonoR35,MonoR738,MonoR213,MonoR847,MonoR876,MonoR635,MonoR764,MonoR2,MonoR403,7,0,2,0,7,7,6,1,4,2,4,7,2,7,2,3,3,3,2,1,3,3,3,3,3,2,3,2
MonoR431,-0.12145429,0.067264895,0.591836735,9,7,2,MonoR978,MonoR658,MonoR747,MonoR822,MonoR997,MonoR647,MonoR607,MonoR823,MonoR600,MonoR90,MonoR846,MonoR496,MonoR92,MonoR719,7,4,1,4,4,2,3,6,5,3,0,0,5,7,1,3,3,3,3,3,3,3,3,3,3,3,3,1
MonoR432,-0.364720145,0.078520208,0.586956522,7,4,3,MonoR819,MonoR766,MonoR301,MonoR364,MonoR83,MonoR433,MonoR282,MonoR238,MonoR852,MonoR401,MonoR97,MonoR606,MonoR310,MonoR230,2,2,7,7,3,1,7,5,4,0,7,2,2,1,3,3,1,2,3,3,1,3,3,3,1,3,3,3
MonoR433,-0.372855347,0.030414071,0.595959596,4,1,3,MonoR97,MonoR364,MonoR785,MonoR83,MonoR432,MonoR112,MonoR78,MonoR814,MonoR766,MonoR819,MonoR363,MonoR159,MonoR301,MonoR952,7,7,4,3,4,4,2,6,2,2,1,6,7,3,1,2,3,3,3,3,3,3,3,3,3,3,1,3
MonoR434,0.289598701,0.180528305,0.482352941,7,4,3,MonoR776,MonoR711,MonoR354,MonoR960,MonoR131,MonoR475,MonoR48,MonoR741,MonoR378,MonoR437,MonoR38,MonoR41,MonoR326,MonoR517,1,1,4,1,5,7,2,2,1,0,5,1,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3
MonoR435,-0.206877106,-0.029800516,0.571428571,7,4,3,MonoR55,MonoR43,MonoR76,MonoR556,MonoR751,MonoR228,MonoR389,MonoR463,MonoR70,MonoR686,MonoR36,MonoR184,MonoR689,MonoR176,2,2,6,2,4,1,6,7,4,4,5,1,1,7,3,3,3,3,3,3,3,2,3,3,3,3,3,1
MonoR436,0.402816594,0.122815207,0.588888889,3,0,3,MonoR897,MonoR218,MonoR464,MonoR524,MonoR29,MonoR193,MonoR682,MonoR181,MonoR27,MonoR117,MonoR928,MonoR437,MonoR326,MonoR919,0,7,1,2,7,2,5,4,7,1,7,0,3,7,3,1,3,3,2,3,3,3,1,3,2,3,3,1
MonoR437,0.339329582,0.153116058,0.456790123,3,0,3,MonoR29,MonoR326,MonoR117,MonoR181,MonoR711,MonoR193,MonoR524,MonoR741,MonoR434,MonoR131,MonoR776,MonoR897,MonoR87,MonoR436,7,3,1,4,1,2,2,2,4,5,1,0,5,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3
MonoR438,0.507105474,0.428424202,0.494252874,5,2,3,MonoR187,MonoR327,MonoR560,MonoR801,MonoR699,MonoR392,MonoR387,MonoR478,MonoR530,MonoR697,MonoR566,MonoR489,MonoR628,MonoR693,2,4,4,0,5,0,6,7,4,2,2,2,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
MonoR439,-0.213758495,-0.238900357,0.588235294,8,5,3,MonoR663,MonoR596,MonoR781,MonoR771,MonoR972,MonoR547,MonoR657,MonoR983,MonoR737,MonoR550,MonoR894,MonoR501,MonoR423,MonoR446,6,3,5,5,4,3,7,1,7,1,2,2,5,4,3,3,3,3,3,3,1,3,2,3,3,3,3,3
MonoR440,0.073325306,-0.147308423,0.505617978,7,4,3,MonoR752,MonoR150,MonoR156,MonoR904,MonoR110,MonoR448,MonoR934,MonoR918,MonoR1000,MonoR253,MonoR173,MonoR128,MonoR162,MonoR770,1,1,3,3,3,7,4,2,5,2,5,1,4,0,3,3,3,3,3,2,3,3,3,3,3,3,3,3
MonoR441,0.629706982,-0.122242351,0.476190476,7,4,3,MonoR65,MonoR901,MonoR844,MonoR717,MonoR216,MonoR148,MonoR731,MonoR332,MonoR561,MonoR704,MonoR922,MonoR884,MonoR302,MonoR838,1,0,7,4,3,2,1,1,6,2,5,0,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3
MonoR442,-0.013977884,0.301376719,0.430379747,5,2,3,MonoR244,MonoR318,MonoR185,MonoR472,MonoR563,MonoR384,MonoR488,MonoR800,MonoR615,MonoR93,MonoR107,MonoR331,MonoR654,MonoR321,0,1,3,3,3,2,2,3,4,1,0,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MonoR443,0.013491304,0.204598455,0.597938144,9,7,2,MonoR730,MonoR395,MonoR883,MonoR487,MonoR75,MonoR205,MonoR512,MonoR789,MonoR481,MonoR474,MonoR932,MonoR797,MonoR215,MonoR707,0,6,3,7,2,6,2,3,7,2,4,2,2,5,3,3,3,0,3,3,3,3,1,3,3,3,3,3
