Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
RG388,-0.0566054,-0.3971226,0.50442478,5,2,3,RG637,RG1273,RG1838,RG144,RG659,RG1576,RG1114,RG92,RG212,RG1150,RG1743,RG153,RG930,RG1812,RG1043,RG307,RG1072,RG1885,RG1914,3,6,0,7,1,1,3,4,2,3,3,2,2,4,1,3,2,1,7,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
RG389,0.09261473,0.33881078,0.5042735,6,3,3,RG436,RG600,RG193,RG787,RG579,RG1201,RG567,RG828,RG168,RG471,RG1463,RG855,RG268,RG199,RG839,RG846,RG1626,RG645,RG60,3,7,2,1,2,5,2,4,2,3,4,4,0,1,4,2,7,2,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
RG390,0.03697023,0.47282738,0.46846847,5,2,3,RG465,RG588,RG318,RG908,RG218,RG1393,RG1266,RG1404,RG486,RG539,RG419,RG1928,RG450,RG1955,RG958,RG1501,RG324,RG229,RG1570,4,2,3,2,5,2,3,2,0,7,1,2,4,0,4,1,3,4,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
RG391,-0.192453,0.44239732,0.48245614,4,1,3,RG1644,RG994,RG1275,RG910,RG517,RG915,RG757,RG1311,RG563,RG1272,RG1662,RG964,RG1508,RG349,RG421,RG1080,RG1323,RG868,RG1277,3,0,0,1,4,1,6,2,3,5,0,1,7,3,5,2,3,6,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
RG392,0.37014322,-0.1784815,0.56923077,9,6,3,RG1926,RG1480,RG1931,RG1529,RG266,RG28,RG489,RG1709,RG1146,RG227,RG1686,RG1190,RG1069,RG1050,RG842,RG558,RG57,RG49,RG1852,7,3,4,4,7,3,0,2,5,2,4,3,2,3,3,6,4,2,4,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG393,0.54456911,-0.1136278,0.54918033,5,2,3,RG1476,RG1937,RG834,RG1945,RG783,RG478,RG202,RG1675,RG200,RG281,RG1799,RG1279,RG723,RG1170,RG971,RG1005,RG1619,RG1924,RG1595,2,1,0,1,7,4,7,5,3,2,4,1,6,7,1,7,4,1,2,3,3,3,3,1,3,2,3,3,3,3,3,3,2,3,2,3,3,3
RG394,0.1155933,-0.192056,0.60465116,9,6,3,RG1056,RG949,RG1082,RG124,RG1969,RG529,RG1738,RG743,RG1339,RG952,RG1496,RG1486,RG1703,RG1135,RG1443,RG1408,RG311,RG3,RG369,7,0,7,3,7,3,7,3,4,2,6,1,5,2,4,2,1,4,4,1,3,2,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3
RG395,-0.2656368,-0.090967,0.46226415,3,0,3,RG633,RG88,RG1844,RG523,RG1520,RG474,RG189,RG1384,RG1867,RG1965,RG1659,RG327,RG1603,RG1668,RG680,RG646,RG1698,RG1215,RG1537,7,2,2,0,1,0,1,3,1,3,7,4,0,1,2,6,4,0,5,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
RG396,-0.0835527,-0.2585056,0.58394161,9,6,3,RG844,RG1434,RG36,RG1454,RG1528,RG39,RG1722,RG303,RG1814,RG1423,RG232,RG427,RG1453,RG1278,RG400,RG1180,RG1077,RG819,RG663,5,2,6,2,4,6,2,3,7,5,1,6,7,5,1,3,0,7,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3
RG397,-0.0776022,0.04232897,0.5042735,4,1,3,RG1860,RG1785,RG750,RG1103,RG1813,RG97,RG1597,RG601,RG1558,RG131,RG942,RG1207,RG1505,RG444,RG1452,RG1227,RG33,RG1134,RG380,3,2,0,3,6,4,4,1,3,1,7,4,2,4,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
