ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
RG652,0.020003322,-0.101748065,0.6,5,2,3,RG174,RG573,RG28,RG874,RG564,RG199,RG26,RG394,RG879,RG538,RG78,RG703,RG296,RG55,6,3,7,2,2,7,3,6,6,1,3,7,1,4,3,3,2,3,3,0,3,3,3,3,3,2,3,3
RG653,0.041451363,-0.191653306,0.577319588,6,3,3,RG506,RG463,RG270,RG366,RG776,RG593,RG584,RG358,RG534,RG379,RG689,RG644,RG30,RG323,2,4,5,2,4,1,4,6,7,2,1,4,4,7,3,3,3,3,3,3,3,3,1,3,3,3,3,1
RG654,0.073251437,-0.260603111,0.469879518,4,1,3,RG820,RG132,RG478,RG748,RG718,RG655,RG644,RG433,RG476,RG402,RG236,RG953,RG396,RG614,5,2,2,5,2,0,4,2,1,2,0,0,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,2
RG655,0.100970032,-0.281024972,0.505617978,3,0,3,RG478,RG953,RG820,RG402,RG654,RG974,RG748,RG413,RG476,RG232,RG43,RG946,RG132,RG396,2,0,5,2,1,6,5,7,1,1,2,5,2,6,3,3,3,3,3,3,3,2,3,3,3,3,3,3
RG656,-0.306660047,0.192744694,0.5,7,4,3,RG33,RG106,RG215,RG904,RG775,RG930,RG325,RG407,RG346,RG621,RG963,RG753,RG11,RG551,6,2,2,3,1,3,1,3,7,1,4,4,1,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3
RG657,-0.100255899,-0.02688837,0.569892473,8,7,1,RG606,RG818,RG190,RG237,RG369,RG579,RG125,RG426,RG825,RG380,RG949,RG72,RG76,RG200,1,3,5,7,4,1,0,3,2,7,5,3,3,2,3,3,3,2,3,3,3,3,3,1,3,3,3,3
RG658,0.15754976,0.079116107,0.58,5,2,3,RG455,RG74,RG337,RG746,RG929,RG95,RG186,RG298,RG671,RG48,RG321,RG482,RG415,RG243,4,2,0,4,2,6,0,7,5,2,7,5,7,5,3,3,3,3,3,3,3,2,3,3,2,3,2,3
RG659,0.126695133,-0.052304789,0.522727273,4,1,3,RG998,RG527,RG454,RG624,RG322,RG313,RG263,RG340,RG827,RG40,RG633,RG349,RG16,RG128,3,2,4,6,0,1,5,6,4,2,2,7,1,2,3,3,3,3,3,3,3,3,3,3,3,0,3,3
RG660,-0.460672975,-0.082423161,0.451219512,5,2,3,RG300,RG927,RG285,RG278,RG101,RG716,RG736,RG440,RG571,RG952,RG92,RG615,RG126,RG86,2,4,0,2,3,6,5,2,5,1,0,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG661,0.227109989,0.077185224,0.623762376,8,7,1,RG846,RG936,RG729,RG759,RG368,RG877,RG243,RG515,RG56,RG321,RG480,RG931,RG980,RG886,4,3,0,1,7,4,5,7,1,7,4,7,4,2,3,3,3,3,2,3,3,2,3,2,3,1,3,3
