ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
Multi160,0.328301084,0.113922292,0.511627907,6,3,3,Multi112,Multi959,Multi297,Multi314,Multi768,Multi578,Multi657,Multi712,Multi749,Multi180,Multi876,Multi47,Multi462,Multi118,1,3,1,4,3,2,4,7,0,3,5,1,5,2,3,3,3,3,3,3,3,0,3,3,3,3,3,3
Multi161,-0.296464918,0.194549656,0.407894737,6,3,3,Multi186,Multi995,Multi642,Multi806,Multi631,Multi692,Multi514,Multi9,Multi660,Multi767,Multi956,Multi64,Multi455,Multi272,3,3,0,3,1,3,0,2,2,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi162,0.157688525,0.183878072,0.547368421,4,1,3,Multi204,Multi56,Multi132,Multi486,Multi310,Multi224,Multi257,Multi638,Multi343,Multi506,Multi563,Multi919,Multi317,Multi203,5,5,5,2,1,6,7,2,4,2,5,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
Multi163,-0.197853108,-0.052510219,0.511111111,3,0,3,Multi236,Multi557,Multi835,Multi442,Multi733,Multi181,Multi376,Multi359,Multi412,Multi552,Multi544,Multi106,Multi757,Multi710,0,1,1,4,3,3,4,7,3,4,2,3,5,6,3,3,3,3,3,3,3,2,3,3,3,3,3,3
Multi164,0.168833791,0.142653478,0.537634409,5,2,3,Multi825,Multi95,Multi586,Multi148,Multi919,Multi521,Multi122,Multi563,Multi944,Multi203,Multi883,Multi204,Multi224,Multi177,2,7,2,1,1,5,1,5,3,3,2,5,6,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3
Multi165,0.033017323,-0.347690334,0.45,5,2,3,Multi957,Multi708,Multi485,Multi448,Multi982,Multi535,Multi231,Multi441,Multi556,Multi977,Multi877,Multi573,Multi688,Multi742,3,3,1,0,3,2,1,2,3,7,0,3,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3
Multi166,0.152572153,-0.00735566,0.581632653,4,1,3,Multi975,Multi217,Multi715,Multi335,Multi179,Multi824,Multi176,Multi912,Multi230,Multi860,Multi662,Multi131,Multi380,Multi878,2,5,2,3,3,7,4,7,1,5,4,3,3,7,3,3,3,3,3,1,3,2,3,3,3,3,3,2
Multi167,-0.201980482,0.122109625,0.522727273,6,3,3,Multi811,Multi184,Multi452,Multi716,Multi793,Multi783,Multi126,Multi537,Multi212,Multi71,Multi337,Multi915,Multi299,Multi289,3,4,0,7,2,7,4,2,2,3,2,2,1,4,3,3,3,2,3,1,3,3,3,3,3,3,3,3
Multi168,0.174596872,0.216327032,0.451219512,3,0,3,Multi812,Multi371,Multi172,Multi638,Multi506,Multi887,Multi819,Multi132,Multi486,Multi58,Multi162,Multi420,Multi497,Multi204,4,6,3,2,2,3,2,5,2,1,1,1,0,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi169,0.079803235,0.180262034,0.563829787,7,7,0,Multi609,Multi482,Multi392,Multi879,Multi526,Multi72,Multi51,Multi147,Multi900,Multi407,Multi50,Multi100,Multi327,Multi258,5,1,5,3,7,1,6,2,3,2,1,5,0,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3
Multi170,-0.137311975,-0.258720287,0.59223301,7,4,3,Multi622,Multi424,Multi87,Multi748,Multi14,Multi921,Multi804,Multi753,Multi43,Multi538,Multi191,Multi11,Multi123,Multi968,7,5,5,5,2,6,5,6,4,3,7,1,1,0,2,3,3,3,3,3,3,3,3,3,1,3,3,3
Multi171,0.075125437,-0.267821017,0.456790123,5,2,3,Multi833,Multi16,Multi433,Multi850,Multi278,Multi836,Multi590,Multi573,Multi617,Multi988,Multi330,Multi977,Multi877,Multi776,0,2,5,0,4,1,1,3,2,1,3,7,0,6,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Multi172,0.162874406,0.225840971,0.464285714,6,3,3,Multi506,Multi638,Multi168,Multi812,Multi486,Multi371,Multi113,Multi132,Multi819,Multi58,Multi887,Multi497,Multi923,Multi611,2,2,0,4,2,6,3,5,2,1,3,0,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi173,-0.227426066,0.218379947,0.543478261,3,0,3,Multi946,Multi580,Multi325,Multi316,Multi775,Multi385,Multi49,Multi632,Multi272,Multi832,Multi608,Multi404,Multi18,Multi280,7,2,3,5,3,2,4,4,3,1,5,1,7,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3
Multi174,-0.203257084,0.166156026,0.58,6,3,3,Multi926,Multi765,Multi816,Multi798,Multi930,Multi212,Multi71,Multi107,Multi991,Multi126,Multi443,Multi699,Multi404,Multi77,6,3,3,7,7,2,3,7,3,4,0,3,1,6,3,3,3,2,2,3,3,2,3,3,3,3,3,3
Multi175,0.263405586,-0.098160477,0.506024096,5,2,3,Multi137,Multi249,Multi393,Multi646,Multi536,Multi15,Multi986,Multi534,Multi59,Multi304,Multi954,Multi229,Multi938,Multi869,4,6,2,7,0,1,2,0,0,0,2,7,4,5,3,3,3,1,3,3,3,3,3,3,3,1,3,3
Multi176,0.130591913,0.002552032,0.606060606,7,4,3,Multi860,Multi975,Multi4,Multi777,Multi760,Multi166,Multi446,Multi294,Multi217,Multi380,Multi824,Multi715,Multi912,Multi179,5,2,2,2,7,1,7,3,5,3,7,2,7,3,3,3,3,3,1,3,2,3,3,3,1,3,2,3
Multi177,0.200886277,0.160060647,0.571428571,8,5,3,Multi944,Multi529,Multi203,Multi586,Multi82,Multi420,Multi224,Multi368,Multi755,Multi394,Multi164,Multi417,Multi204,Multi634,3,2,3,2,2,1,6,7,6,3,2,2,5,7,3,3,3,3,3,3,3,1,3,3,3,3,3,2
Multi178,-0.15014108,-0.304206773,0.605769231,9,7,2,Multi323,Multi298,Multi553,Multi43,Multi626,Multi968,Multi538,Multi265,Multi191,Multi730,Multi921,Multi622,Multi140,Multi87,4,5,4,4,0,0,3,2,7,3,6,7,6,5,3,3,3,3,3,3,3,3,1,3,3,2,3,3
Multi179,0.168191796,0.00602109,0.523255814,6,3,3,Multi715,Multi662,Multi217,Multi230,Multi166,Multi975,Multi892,Multi76,Multi335,Multi131,Multi246,Multi605,Multi480,Multi996,2,4,5,1,1,2,2,2,3,3,3,7,7,0,3,3,3,3,3,3,3,3,3,3,3,1,1,3
Multi180,0.30508737,0.066339747,0.531914894,6,3,3,Multi749,Multi462,Multi297,Multi344,Multi918,Multi295,Multi768,Multi112,Multi193,Multi578,Multi350,Multi347,Multi734,Multi37,0,5,1,5,6,3,3,1,3,2,1,6,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Multi181,-0.188076798,-0.029775335,0.5,6,3,3,Multi442,Multi376,Multi106,Multi163,Multi733,Multi412,Multi696,Multi236,Multi312,Multi835,Multi557,Multi359,Multi544,Multi255,4,4,3,0,3,3,2,0,7,1,1,7,2,1,3,3,3,3,3,3,3,3,0,3,3,2,3,3
Multi182,0.070214529,0.037737175,0.607843137,8,7,1,Multi133,Multi967,Multi581,Multi151,Multi737,Multi340,Multi307,Multi20,Multi714,Multi960,Multi743,Multi769,Multi619,Multi227,0,4,7,3,2,7,7,6,0,4,1,5,6,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3
Multi183,-0.305520972,0.133908722,0.469879518,7,4,3,Multi786,Multi356,Multi81,Multi349,Multi846,Multi269,Multi956,Multi929,Multi455,Multi305,Multi660,Multi363,Multi566,Multi520,6,1,1,0,2,2,1,6,1,4,2,1,7,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3
Multi184,-0.193137872,0.120364789,0.553191489,7,4,3,Multi452,Multi167,Multi811,Multi337,Multi716,Multi783,Multi793,Multi422,Multi126,Multi71,Multi212,Multi77,Multi537,Multi299,0,3,3,2,7,7,2,6,4,3,2,6,2,1,3,3,3,3,2,1,3,3,3,3,3,3,3,3
Multi185,-0.269710478,-0.044705177,0.459459459,5,2,3,Multi747,Multi29,Multi571,Multi474,Multi245,Multi847,Multi233,Multi544,Multi271,Multi63,Multi255,Multi127,Multi594,Multi328,4,2,3,1,7,1,1,2,2,0,1,0,1,7,3,3,3,3,0,3,3,3,3,3,3,3,3,1
Multi186,-0.285965521,0.210855601,0.451219512,6,3,3,Multi806,Multi642,Multi9,Multi692,Multi161,Multi767,Multi995,Multi64,Multi719,Multi631,Multi272,Multi775,Multi514,Multi660,3,0,2,3,3,3,3,3,5,1,3,3,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi187,0.214517402,-0.054212655,0.539325843,5,2,3,Multi70,Multi801,Multi142,Multi523,Multi270,Multi711,Multi687,Multi818,Multi907,Multi863,Multi216,Multi677,Multi986,Multi221,2,0,3,2,6,7,7,2,1,2,7,4,2,1,3,3,3,3,3,2,2,3,3,3,1,3,3,3
Multi188,0.067531603,0.218073939,0.621359223,9,7,2,Multi387,Multi92,Multi641,Multi526,Multi322,Multi718,Multi482,Multi219,Multi54,Multi894,Multi72,Multi994,Multi258,Multi644,7,7,5,7,4,4,1,2,3,0,1,7,5,4,1,2,3,2,3,3,3,3,3,3,3,2,3,3
Multi189,0.205745722,0.059205426,0.57,4,1,3,Multi612,Multi1000,Multi941,Multi281,Multi871,Multi74,Multi530,Multi987,Multi102,Multi290,Multi215,Multi91,Multi576,Multi969,5,2,6,2,3,2,7,5,3,6,3,7,4,1,3,3,3,3,3,3,2,3,3,3,3,2,3,3
Multi190,0.165634813,0.319684672,0.423076923,6,3,3,Multi820,Multi3,Multi940,Multi532,Multi354,Multi678,Multi515,Multi815,Multi673,Multi948,Multi781,Multi6,Multi923,Multi695,0,4,2,2,0,3,1,1,2,6,6,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi191,-0.165306585,-0.278674098,0.651785714,8,7,1,Multi538,Multi730,Multi43,Multi298,Multi62,Multi87,Multi364,Multi265,Multi178,Multi140,Multi323,Multi753,Multi622,Multi170,3,3,4,5,7,5,3,2,7,6,4,6,7,4,3,3,3,3,1,3,3,3,2,3,3,3,2,3
Multi192,0.049467183,-0.195186217,0.430379747,3,0,3,Multi85,Multi636,Multi194,Multi450,Multi597,Multi935,Multi973,Multi348,Multi466,Multi358,Multi374,Multi962,Multi116,Multi635,2,2,1,5,1,2,0,4,3,2,0,6,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
