Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BG15,-0.093136196,-0.27068151,48.6%,5,2,3,BG1396,BG452,BG713,BG661,BG1106,BG1830,BG532,BG565,BG1981,BG390,BG1235,BG408,BG1295,BG1815,BG1338,BG1763,BG1529,BG424,BG1642,1,3,3,1,1,4,7,6,2,0,7,0,0,0,2,3,4,3,5,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3
BG16,0.026408773,0.212883487,54.8%,4,1,3,BG201,BG132,BG1926,BG809,BG1582,BG467,BG458,BG1153,BG1466,BG237,BG1227,BG836,BG78,BG1535,BG126,BG947,BG1219,BG1105,BG93,5,2,3,4,0,4,7,7,1,7,2,4,4,4,0,4,4,4,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3
BG17,-0.104977823,0.196851326,57.8%,9,7,2,BG725,BG1137,BG818,BG1388,BG576,BG1177,BG1536,BG753,BG277,BG1755,BG1805,BG497,BG1448,BG1744,BG1320,BG1502,BG574,BG1220,BG160,7,6,2,7,3,4,1,1,7,1,1,2,2,7,0,6,7,1,2,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3
BG18,0.158976951,-0.264802379,50.4%,7,4,3,BG1636,BG1965,BG703,BG793,BG1585,BG1079,BG376,BG1030,BG1472,BG361,BG272,BG200,BG968,BG1782,BG1330,BG87,BG1678,BG1264,BG1392,3,5,2,7,3,0,1,4,6,7,2,2,0,0,2,3,4,2,1,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
BG19,0.322107362,0.222323341,47.7%,7,4,3,BG6,BG672,BG216,BG1161,BG328,BG1094,BG1530,BG347,BG1617,BG609,BG1946,BG745,BG1093,BG567,BG1492,BG1250,BG1174,BG657,BG1168,4,2,1,1,1,7,4,2,2,2,5,2,4,2,5,0,0,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
BG20,0.529540068,-0.185804237,51.3%,5,2,3,BG879,BG1135,BG1417,BG1889,BG1787,BG965,BG1378,BG1066,BG1899,BG1903,BG1343,BG1017,BG1680,BG1340,BG1869,BG796,BG60,BG1247,BG899,1,2,1,2,2,4,0,6,2,6,2,7,3,3,6,1,0,2,7,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,0
BG21,0.051331634,-0.46481401,54.1%,3,0,3,BG1325,BG1151,BG1404,BG465,BG993,BG136,BG1069,BG1735,BG867,BG544,BG1655,BG1591,BG921,BG1644,BG1925,BG1764,BG1516,BG317,BG1953,1,5,5,3,4,4,1,2,7,2,7,2,7,1,2,7,4,2,0,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,2,3,3,3
BG22,0.195375167,-0.095859678,59.4%,8,5,3,BG1534,BG486,BG322,BG1444,BG442,BG520,BG1156,BG901,BG169,BG220,BG1985,BG411,BG1383,BG319,BG1881,BG1008,BG1577,BG1769,BG84,4,2,3,1,1,6,5,6,2,1,6,7,7,1,5,7,2,7,1,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,1,3
BG23,-0.164444373,0.046287215,59.4%,9,7,2,BG484,BG149,BG1542,BG382,BG1895,BG813,BG190,BG409,BG1237,BG1447,BG599,BG1088,BG1937,BG1770,BG1784,BG530,BG1031,BG973,BG222,2,7,7,4,2,2,3,6,1,4,4,4,7,7,2,1,1,7,1,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3
BG24,0.256893024,-0.146088827,56.9%,7,4,3,BG2,BG1345,BG1394,BG799,BG621,BG1086,BG1214,BG814,BG35,BG240,BG1846,BG611,BG1604,BG1306,BG1008,BG297,BG579,BG1479,BG463,2,1,6,4,7,3,0,4,1,1,4,2,7,3,7,6,1,4,7,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2
BG25,0.281172284,-0.29986246,56.2%,5,2,3,BG1868,BG1477,BG529,BG1488,BG394,BG1341,BG368,BG602,BG374,BG1563,BG1948,BG168,BG231,BG595,BG622,BG1609,BG613,BG289,BG1766,4,3,1,3,3,2,6,7,1,5,1,6,7,6,3,4,4,4,1,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3
BG26,-0.10851643,0.322900285,50.0%,4,1,3,BG1204,BG1099,BG321,BG248,BG519,BG1561,BG362,BG359,BG1399,BG1037,BG515,BG691,BG1024,BG1130,BG108,BG1606,BG1182,BG896,BG1436,7,2,7,4,1,5,1,1,2,3,5,2,2,4,1,0,3,2,5,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG27,-0.104911895,0.142158775,42.3%,6,3,3,BG270,BG1242,BG1366,BG219,BG859,BG346,BG585,BG1065,BG1422,BG1349,BG412,BG1448,BG680,BG1838,BG410,BG403,BG1564,BG1717,BG1487,0,6,1,6,3,1,2,1,1,4,1,2,0,0,4,6,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG28,0.196824171,-0.170530453,50.0%,3,0,3,BG890,BG193,BG579,BG1346,BG969,BG516,BG1841,BG683,BG1306,BG286,BG35,BG653,BG1622,BG1769,BG30,BG1554,BG1875,BG489,BG799,3,2,1,5,0,2,6,2,3,2,1,1,4,7,3,1,2,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3
BG29,0.012556297,0.363292881,52.7%,4,1,3,BG810,BG1753,BG1372,BG932,BG1481,BG939,BG1557,BG1221,BG430,BG1677,BG1533,BG1615,BG1265,BG1521,BG885,BG436,BG401,BG278,BG1180,6,1,1,4,7,3,7,0,0,2,1,1,5,7,5,2,1,4,1,3,3,3,3,2,3,0,3,3,3,3,3,3,0,3,3,3,3,3
BG30,0.170534311,-0.195260628,49.5%,6,3,3,BG1622,BG516,BG501,BG1841,BG653,BG1875,BG499,BG889,BG1264,BG200,BG193,BG890,BG1782,BG1330,BG655,BG28,BG75,BG489,BG14,4,2,2,6,1,2,1,7,2,2,2,3,0,2,1,0,2,7,6,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3
BG31,0.04449302,0.136343698,51.8%,5,2,3,BG833,BG1018,BG307,BG1482,BG1467,BG1888,BG1303,BG730,BG437,BG1760,BG254,BG70,BG498,BG1073,BG629,BG1171,BG134,BG1795,BG892,2,3,0,1,1,1,4,7,7,7,3,1,3,3,5,1,3,3,2,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3
BG32,-0.195214806,-0.06683738,55.5%,4,1,3,BG1720,BG1863,BG820,BG1375,BG999,BG172,BG206,BG298,BG1808,BG736,BG324,BG1885,BG312,BG327,BG1389,BG1280,BG99,BG1785,BG981,6,5,7,6,3,5,3,4,6,2,3,7,4,1,0,3,3,2,0,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
BG33,0.195586424,0.349320753,56.0%,9,7,2,BG564,BG1033,BG1740,BG562,BG942,BG191,BG998,BG1080,BG1190,BG1339,BG47,BG1575,BG721,BG538,BG1920,BG1977,BG1651,BG86,BG1747,3,2,1,1,7,2,7,7,7,2,2,1,3,4,0,7,0,1,1,3,3,3,3,0,3,2,2,2,3,3,3,3,3,3,1,3,3,3
BG34,0.361817575,-0.152268598,53.4%,3,0,3,BG381,BG227,BG1909,BG58,BG1915,BG699,BG1476,BG851,BG1081,BG1850,BG956,BG1608,BG899,BG333,BG792,BG1836,BG674,BG1027,BG675,4,4,2,1,7,0,3,3,4,4,1,7,7,3,1,2,2,3,5,3,3,3,3,2,3,3,3,3,3,3,2,0,3,3,3,3,3,3
BG35,0.220925631,-0.155833354,52.1%,4,1,3,BG1306,BG579,BG799,BG1346,BG1086,BG969,BG286,BG28,BG1008,BG683,BG890,BG1769,BG24,BG193,BG1345,BG169,BG442,BG1604,BG1841,3,1,4,5,3,0,2,0,7,2,3,7,4,2,1,2,1,7,6,3,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,2,3
BG36,0.102366766,0.164441749,52.1%,4,1,3,BG1111,BG305,BG618,BG1443,BG1727,BG1076,BG904,BG1493,BG754,BG453,BG224,BG629,BG1776,BG1945,BG13,BG958,BG260,BG1623,BG1412,4,2,3,5,1,3,2,7,4,1,4,5,3,3,2,1,3,4,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
BG37,-0.127722491,-0.127675009,56.5%,5,2,3,BG945,BG583,BG1324,BG353,BG748,BG1053,BG990,BG873,BG1457,BG1322,BG385,BG1598,BG1682,BG1778,BG549,BG69,BG1270,BG1109,BG918,5,1,2,6,2,2,2,5,4,5,1,5,7,6,7,4,4,0,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3
BG38,-0.335644974,0.084321841,54.4%,3,0,3,BG731,BG1541,BG483,BG500,BG330,BG251,BG161,BG1283,BG581,BG387,BG1187,BG1959,BG369,BG741,BG1673,BG667,BG1600,BG1348,BG1016,1,7,4,0,4,7,5,1,5,7,2,4,2,1,2,6,2,3,5,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3
BG39,0.272723902,0.138742521,47.7%,4,1,3,BG494,BG292,BG1750,BG1975,BG233,BG1277,BG61,BG1468,BG978,BG807,BG1904,BG276,BG454,BG1982,BG249,BG657,BG545,BG1492,BG1456,3,3,3,2,4,3,0,7,1,3,4,0,0,0,3,3,7,5,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3
BG40,-0.393102914,-0.087394699,43.1%,6,3,3,BG840,BG235,BG155,BG712,BG1592,BG1374,BG1445,BG1990,BG760,BG293,BG770,BG238,BG1568,BG1602,BG1028,BG1251,BG53,BG846,BG1779,2,3,3,5,3,1,0,2,0,4,0,1,4,7,0,3,2,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
BG41,0.213217626,0.17828991,36.6%,4,1,3,BG789,BG211,BG1974,BG534,BG365,BG1614,BG1918,BG1733,BG276,BG953,BG1603,BG1957,BG454,BG812,BG66,BG545,BG1783,BG54,BG1687,0,2,2,2,0,3,4,1,0,2,1,1,0,0,1,7,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
BG42,0.172118186,0.02818098,53.7%,5,2,3,BG1068,BG1002,BG336,BG1413,BG559,BG1353,BG1113,BG702,BG165,BG839,BG883,BG1129,BG138,BG141,BG121,BG780,BG431,BG512,BG392,1,0,3,3,4,3,4,7,5,5,4,2,1,7,1,2,3,7,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3
BG43,-0.056446072,-0.146108946,52.1%,8,5,3,BG158,BG1305,BG1405,BG692,BG1633,BG371,BG95,BG696,BG1630,BG523,BG1462,BG123,BG1496,BG739,BG1552,BG1978,BG1128,BG1932,BG614,2,5,7,4,1,2,0,3,7,0,1,5,1,4,7,1,2,2,2,3,3,1,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3
BG44,0.347623486,0.137593128,56.9%,3,0,3,BG665,BG601,BG1819,BG414,BG950,BG1963,BG737,BG118,BG207,BG1058,BG609,BG1599,BG1468,BG1982,BG1315,BG1530,BG1975,BG800,BG1492,4,7,7,4,5,6,2,4,3,4,2,1,7,0,4,4,2,3,5,3,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
BG45,0.050476158,-0.075463106,57.7%,9,6,3,BG1722,BG1001,BG946,BG1890,BG548,BG1716,BG1723,BG1525,BG1979,BG250,BG311,BG469,BG63,BG1843,BG182,BG471,BG558,BG707,BG1067,4,7,5,4,4,1,0,4,7,7,3,4,1,1,4,5,0,7,1,3,2,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,2,3
BG46,-0.382567544,-0.0152646,50.8%,9,6,3,BG966,BG1933,BG760,BG1139,BG1968,BG1445,BG488,BG1809,BG712,BG1251,BG1350,BG293,BG1028,BG1592,BG235,BG1555,BG398,BG1289,BG1779,3,5,0,3,5,0,1,7,5,3,4,4,0,3,3,1,1,5,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
BG47,0.233897967,0.324189199,58.7%,5,2,3,BG1041,BG998,BG1920,BG191,BG1740,BG1190,BG721,BG524,BG4,BG1694,BG564,BG942,BG33,BG230,BG1033,BG1747,BG1935,BG354,BG261,2,7,0,2,1,7,3,7,5,1,3,7,7,7,2,1,5,3,2,3,2,3,3,3,2,3,2,3,3,3,0,2,2,3,3,3,3,3
BG48,0.056566374,0.28026738,56.3%,8,7,1,BG127,BG176,BG1170,BG505,BG1829,BG1775,BG461,BG682,BG1368,BG389,BG726,BG1172,BG1845,BG1610,BG1626,BG1192,BG1741,BG1363,BG626,1,7,4,4,7,1,3,5,3,1,6,2,3,1,3,7,3,1,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
BG49,-0.002628301,0.10687905,51.3%,9,7,2,BG1820,BG560,BG1046,BG1356,BG1421,BG1371,BG1240,BG1721,BG1408,BG342,BG975,BG1551,BG1665,BG1739,BG1376,BG435,BG1260,BG888,BG402,2,5,0,0,0,5,3,1,3,7,0,5,4,3,2,1,4,7,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3
BG50,-0.200530321,0.283284963,56.3%,6,3,3,BG640,BG139,BG1849,BG540,BG644,BG864,BG1656,BG784,BG1658,BG582,BG630,BG1327,BG987,BG1662,BG952,BG485,BG1791,BG1910,BG526,5,2,4,1,2,3,7,0,2,6,3,1,5,7,7,2,2,6,4,3,3,3,3,3,3,2,3,3,3,3,3,3,1,2,3,3,3,3
BG51,-0.416590068,-0.202398827,53.7%,9,6,3,BG1211,BG948,BG148,BG880,BG1602,BG846,BG1355,BG407,BG1619,BG1663,BG1520,BG1059,BG586,BG770,BG53,BG1275,BG1374,BG1431,BG777,4,3,1,1,7,0,3,6,4,4,4,1,7,0,2,5,1,1,6,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3
BG52,-0.32241844,-0.062856123,58.6%,4,1,3,BG404,BG377,BG1232,BG1568,BG88,BG1555,BG1028,BG673,BG255,BG1251,BG238,BG196,BG106,BG204,BG366,BG1309,BG798,BG1649,BG742,7,1,1,4,7,1,0,3,2,3,1,7,6,6,6,1,4,7,7,2,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,2,1
BG53,-0.349059992,-0.133954559,49.6%,5,2,3,BG770,BG429,BG846,BG1990,BG1663,BG1374,BG1273,BG1919,BG1947,BG1336,BG1619,BG1395,BG822,BG1355,BG948,BG880,BG155,BG238,BG777,0,5,0,2,4,1,5,0,0,7,4,7,3,3,3,1,3,1,6,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3
BG54,0.253715483,0.203263669,40.6%,7,4,3,BG1381,BG1783,BG1456,BG1093,BG1390,BG1174,BG1971,BG534,BG745,BG211,BG657,BG567,BG1974,BG276,BG41,BG456,BG1946,BG1804,BG1614,0,1,1,4,2,0,2,2,2,2,3,2,2,0,1,1,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
