ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
WB21,0.102674666,0.161379778,0.6,5,2,3,WB217,WB205,WB819,WB849,WB336,WB218,WB307,WB695,WB827,WB868,WB271,WB298,WB284,WB759,7,4,3,2,7,5,4,3,4,1,6,7,2,6,2,3,3,3,2,3,3,3,3,3,3,2,3,3
WB22,-0.204786827,0.142400941,0.4375,4,1,3,WB193,WB506,WB177,WB812,WB90,WB817,WB230,WB837,WB655,WB431,WB252,WB926,WB58,WB404,1,2,0,1,4,1,2,1,2,5,6,5,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WB23,0.118621532,0.11601482,0.542553191,6,3,3,WB769,WB580,WB307,WB559,WB790,WB932,WB205,WB571,WB868,WB336,WB167,WB217,WB21,WB793,1,5,4,1,0,3,4,3,1,7,5,7,2,5,3,3,3,3,3,3,3,3,3,2,3,2,3,3
WB24,-0.131464727,0.035226879,0.518072289,4,1,3,WB200,WB207,WB931,WB109,WB190,WB385,WB138,WB379,WB453,WB447,WB852,WB324,WB955,WB673,1,0,4,5,3,7,7,1,1,2,2,4,2,3,3,3,3,3,3,0,1,3,3,3,3,3,3,3
WB25,0.265013484,-0.120502729,0.58,6,3,3,WB463,WB839,WB860,WB206,WB302,WB392,WB196,WB763,WB590,WB842,WB650,WB523,WB789,WB358,3,7,5,4,7,6,3,3,1,5,3,3,4,1,3,2,3,3,1,3,3,3,3,3,3,3,3,3
WB26,0.27878947,-0.007848208,0.61682243,6,3,3,WB81,WB614,WB212,WB532,WB292,WB688,WB256,WB675,WB767,WB900,WB780,WB668,WB807,WB361,7,1,7,7,1,2,5,1,5,7,4,6,5,5,2,3,2,2,3,3,3,3,3,2,3,3,3,3
WB27,-0.01494035,0.004886581,0.537634409,4,1,3,WB889,WB786,WB962,WB816,WB372,WB14,WB892,WB923,WB444,WB887,WB225,WB355,WB638,WB339,6,3,2,4,4,3,2,5,2,1,4,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
WB28,0.187955026,0.077687553,0.511111111,8,5,3,WB509,WB377,WB779,WB896,WB244,WB411,WB977,WB566,WB409,WB803,WB793,WB557,WB3,WB159,2,3,1,1,2,3,3,5,0,2,5,3,7,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WB29,-0.229588617,0.051488289,0.522222222,6,3,3,WB765,WB239,WB815,WB197,WB455,WB715,WB951,WB201,WB266,WB228,WB806,WB845,WB693,WB252,5,0,2,0,1,3,5,3,7,1,6,3,2,6,3,3,3,3,3,3,3,3,1,3,3,3,3,3
WB30,0.341837369,0.101280893,0.511363636,3,0,3,WB510,WB515,WB367,WB366,WB195,WB854,WB264,WB618,WB753,WB830,WB477,WB483,WB996,WB50,3,4,1,5,4,0,3,2,7,3,7,2,0,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3
