Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WB1772,0.340137836,-0.18370284,0.53968254,8,5,3,WB820,WB943,WB1396,WB1822,WB1805,WB1784,WB1771,WB1402,WB1432,WB1787,WB1193,WB1060,WB804,WB501,WB1502,WB1948,WB817,WB1127,WB1117,5,6,1,4,0,5,0,4,5,1,3,1,5,3,4,1,2,7,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
WB1773,-0.242813554,0.090698554,0.57480315,8,5,3,WB1962,WB34,WB1634,WB1162,WB1623,WB1578,WB266,WB644,WB1517,WB1989,WB420,WB1231,WB602,WB1563,WB1837,WB1224,WB1555,WB1346,WB1310,0,1,1,7,2,0,5,4,7,7,3,4,5,2,2,3,3,7,5,3,3,3,2,3,3,3,3,1,2,3,3,3,3,3,3,3,1,3
WB1774,0.055663695,-0.352880501,0.486725664,4,1,3,WB1786,WB691,WB261,WB785,WB250,WB1639,WB1892,WB178,WB435,WB1367,WB1830,WB334,WB1125,WB1812,WB1324,WB1992,WB1870,WB1850,WB167,7,3,2,1,2,4,5,6,3,4,1,1,0,6,1,1,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WB1775,-0.074016504,-0.295794235,0.476635514,5,2,3,WB1861,WB1198,WB1906,WB53,WB1770,WB1049,WB1580,WB1615,WB1470,WB1950,WB1240,WB1308,WB160,WB1073,WB743,WB303,WB621,WB444,WB1129,4,2,2,6,1,2,1,4,0,7,1,2,1,6,2,1,7,0,0,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3
WB1776,-0.20975901,0.284376341,0.566176471,5,2,3,WB1564,WB570,WB1110,WB1098,WB1713,WB1330,WB492,WB919,WB294,WB1909,WB366,WB1295,WB407,WB1781,WB837,WB217,WB330,WB1235,WB727,4,5,3,5,7,5,0,5,5,5,4,4,0,5,4,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WB1777,0.040206498,-0.021293438,0.485981308,3,0,3,WB1766,WB607,WB781,WB1451,WB942,WB1841,WB113,WB1467,WB200,WB634,WB1264,WB1842,WB379,WB1931,WB1699,WB1684,WB984,WB1309,WB180,1,2,1,2,3,4,1,3,7,0,1,1,7,6,7,2,0,3,1,3,3,3,3,3,3,3,3,2,3,3,3,0,3,2,3,3,3,3
WB1778,0.302932066,-0.34560148,0.546218487,9,6,3,WB437,WB1737,WB1646,WB1349,WB1191,WB873,WB251,WB744,WB872,WB1803,WB1964,WB789,WB666,WB1942,WB1588,WB173,WB1759,WB555,WB1561,7,4,1,7,4,0,7,1,2,0,5,2,2,2,1,7,3,3,1,1,3,3,2,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3
WB1779,0.270502823,0.217134946,0.590551181,8,7,1,WB1938,WB834,WB449,WB648,WB300,WB1534,WB386,WB1085,WB597,WB1577,WB273,WB238,WB1472,WB1685,WB396,WB505,WB553,WB1322,WB3,0,6,3,3,5,5,7,4,2,7,0,7,3,3,4,0,3,6,0,3,3,3,3,3,3,2,3,3,1,3,0,3,3,3,3,3,3,3
WB1780,-0.114274607,-0.08044228,0.545454545,6,3,3,WB507,WB801,WB735,WB332,WB256,WB1924,WB1904,WB1036,WB89,WB405,WB320,WB1181,WB1476,WB1294,WB1244,WB1474,WB212,WB1216,WB866,6,1,7,7,6,3,3,2,1,2,2,3,7,0,1,3,3,2,4,3,3,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
WB1781,-0.167002666,0.276939982,0.525,8,5,3,WB919,WB579,WB385,WB1434,WB492,WB1600,WB1713,WB837,WB1909,WB1295,WB858,WB830,WB1098,WB762,WB1564,WB1123,WB1022,WB1934,WB1749,5,2,1,4,0,7,7,4,5,4,2,6,5,0,4,0,0,0,2,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3
