ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
WR608,0.306890922,-0.050106074,0.482352941,7,4,3,WR369,WR977,WR505,WR846,WR212,WR181,WR872,WR581,WR194,WR712,WR547,WR19,WR783,WR30,7,3,3,1,0,6,1,3,5,5,3,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3
WR609,0.312408336,0.02716493,0.543478261,7,4,3,WR738,WR547,WR53,WR872,WR165,WR778,WR950,WR240,WR308,WR634,WR237,WR783,WR830,WR72,0,3,2,1,7,3,5,1,7,7,1,0,5,4,3,3,3,3,2,3,3,3,2,2,3,3,3,3
WR610,0.101740253,-0.205160146,0.523255814,6,3,3,WR791,WR103,WR979,WR657,WR929,WR739,WR183,WR108,WR861,WR723,WR451,WR356,WR73,WR171,2,7,2,1,2,2,1,1,3,4,7,3,1,6,3,1,3,3,3,3,3,3,3,3,1,3,3,3
WR611,0.024555875,0.012861387,0.688073394,9,7,2,WR442,WR337,WR381,WR331,WR549,WR98,WR335,WR737,WR378,WR376,WR131,WR380,WR718,WR931,4,2,3,3,2,7,7,7,7,3,6,7,5,5,3,3,3,3,3,0,2,1,1,3,3,1,3,3
WR612,-0.057417975,0.373064759,0.444444444,4,1,3,WR332,WR803,WR529,WR113,WR392,WR283,WR39,WR693,WR575,WR377,WR355,WR860,WR578,WR756,2,2,4,4,3,3,1,2,3,2,0,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR613,-0.12964094,0.0206679,0.643564356,8,7,1,WR317,WR740,WR36,WR790,WR765,WR334,WR808,WR877,WR154,WR447,WR897,WR748,WR800,WR870,4,6,3,3,7,1,1,4,7,2,7,7,3,3,3,3,3,3,2,3,3,3,1,3,2,0,3,3
WR614,-0.231077466,0.190733885,0.576923077,9,7,2,WR200,WR694,WR858,WR111,WR537,WR407,WR241,WR207,WR865,WR685,WR621,WR813,WR762,WR424,3,5,5,4,5,5,4,0,2,6,1,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR615,0.175794591,-0.231790274,0.550561798,4,1,3,WR248,WR947,WR508,WR171,WR684,WR85,WR451,WR362,WR822,WR723,WR342,WR941,WR329,WR929,7,0,3,6,0,4,7,4,2,4,5,2,2,2,0,3,3,3,3,3,1,3,3,3,3,3,3,3
WR616,-0.285681849,-0.03880719,0.56,4,1,3,WR167,WR996,WR347,WR553,WR330,WR689,WR520,WR339,WR956,WR80,WR44,WR413,WR67,WR676,5,1,4,7,4,1,4,4,4,2,2,5,6,6,3,3,3,2,3,3,3,3,3,3,3,3,3,3
WR617,0.201878836,0.331359485,0.488095238,8,7,1,WR206,WR471,WR278,WR231,WR50,WR122,WR209,WR345,WR159,WR656,WR548,WR151,WR592,WR604,4,3,5,0,3,5,3,0,3,1,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR618,-0.232255243,-0.492631062,0.444444444,4,1,3,WR780,WR903,WR775,WR622,WR121,WR215,WR395,WR567,WR774,WR828,WR387,WR515,WR766,WR532,2,2,0,3,5,1,1,2,2,3,6,2,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
